date;fecha;oecd;per_enc;td;cot;var_mens;var_feb;pea_lima;e_14a24;e_25a44;e_45mas;mujeres_enc;hombres_enc;tam_1a10;tam_11a50;tam_50m;var_tam1a10;var_tam11a50;var_tam50m;;;;;;;
2018/01/01;2018-Ene;PER;;7,3;;;;4853100;930400;2586700;1336000;;;;;;;;;;;;;;;
2018/02/01;2018-Feb;PER;;8,0;;;;4830400;955400;2555500;1319600;;;;;;;;;;;;;;;
2018/03/01;2018-Mar;PER;;8,1;5243807;;;4800300;942700;2535200;1322400;;;;;;;;;;;;;;;
2018/04/01;2018-Abr;PER;;7,3;5163208;-80599;;4853600;954100;2545300;1354200;;;;;;;;;;;;;;;
2018/05/01;2018-May;PER;;6,6;5048245;-114963;;4856100;924600;2565400;1366100;;;;;;;;;;;;;;;
2018/06/01;2018-Jun;PER;;6,2;5033135;-15110;;4859900;906600;2567400;1385900;;;;;;;;;;;;;;;
2018/07/01;2018-Jul;PER;;6,2;5070883;37748;;4893600;916200;2582000;1395400;2207500;2686100;;;;;;;;;;;;;
2018/08/01;2018-Ago;PER;;6,1;5131011;60128;;4920400;914800;2605100;1400500;2220600;2699800;;;;;;;;;;;;;
2018/09/01;2018-Sept;PER;;6,2;5205446;74435;;4915600;901500;2615300;1398800;2235800;2679800;;;;;;;;;;;;;
2018/10/01;2018-Oct;PER;;6,4;5234369;28923;;4889900;861800;2612300;1415800;2221400;2668400;;;;;;;;;;;;;
2018/11/01;2018-Nov;PER;;6,2;5268622;34253;;4953500;892500;2614400;1446600;2278400;2675100;;;;;;;;;;;;;
2018/12/01;2018-Dic;PER;;6,1;5255408;-13214;;4982500;894800;2622100;1465600;2294300;2688100;;;;;;;;;;;;;
2019/01/01;2019-Ene;PER;;6,5;5079810;-175598;;4934500;911700;2585800;1437000;2262900;2671600;;;;;;;;;;;;;
2019/02/01;2019-Feb;PER;;7,6;5028460;-51350;;4856200;885600;2548900;1421700;2194400;2661800;;;;;;;;;;;;;
2019/03/01;2019-Mar;PER;;8,2;5373715;345255;;4829700;881000;2530100;1418600;2174800;2654900;;;;;;;;;;;;;
2019/04/01;2019-Abr;PER;;7,3;5259064;-114651;;4871500;845200;2561800;1464400;2190400;2681100;2938800;434900;1497800;;;;;;;;;;
2019/05/01;2019-May;PER;;6,7;5142978;-116086;;4867500;802900;2588000;1476700;2217800;2649800;2917600;428100;1521900;;;;;;;;;;
2019/06/01;2019-Jun;PER;;6,3;5147692;4714;;4897000;805400;2593300;1498300;2231300;2665700;2928500;433600;1534900;;;;;;;;;;
2019/07/01;2019-Jul;PER;;6,0;5207074;59382;;4908200;813800;2605400;1488900;2269400;2638800;2974300;447800;1486100;;;;;;;;;;
2019/08/01;2019-Ago;PER;;5,8;5257938;50864;;4932100;828600;2600100;1503400;2262200;2669900;2963200;469700;1499200;;;;;;;;;;
2019/09/01;2019-Sept;PER;;5,7;5353517;95579;;4927400;817200;2609300;1500800;2265000;2662400;2980700;477500;1469300;;;;;;;;;;
2019/10/01;2019-Oct;PER;;6,4;5414651;61134;;4931600;795700;2603500;1532500;2247200;2684500;2980000;481200;1470400;;;;;;;;;;
2019/11/01;2019-Nov;PER;;6,3;5454082;39431;;4961900;806500;2612200;1543100;2272200;2689700;3004100;470200;1487600;;;;;;;;;;
2019/12/01;2019-Dic;PER;;6,1;5446658;-7424;;5014800;824700;2625400;1564600;2313200;2701600;2979600;487100;1548000;;;;;;;;;;
2020/01/01;2020-Ene;PER;;6,3;5275601;-171057;;5037300;877500;2608200;1551600;2306500;2730900;3020000;472500;1544900;;;;;;;;;;
2020/02/01;2020-Feb;PER;;7,1;5210243;-65358;;4997600;874100;2566200;1557300;2260300;2737300;2990700;493800;1513100;;;;;;;;;;
2020/03/01;2020-Mar;PER;-3,5;7,8;5403128;192885;192885;4824000;862100;2442700;1519300;2161800;2662300;2907400;455200;1461400;-83300;-38600;-51700;;;;;;;
2020/04/01;2020-Abr;PER;-26,9;9,0;4965660;-437468;-244583;3654900;606400;1885300;1163100;1640200;2014700;2026100;356800;1272000;-964600;-137000;-241100;;;;;;;
2020/05/01;2020-May;PER;-49,0;13,1;4704672;-260988;-505571;2549200;387600;1353100;808400;1151400;1397800;1261200;240200;1047800;-1729500;-253600;-465300;;;;;;;
2020/06/01;2020-Jun;PER;-56,0;16,3;4743245;38573;-466998;2197900;260000;1229300;708600;961400;1236500;1011100;212100;974700;-1979600;-281700;-538400;;;;;;;
2020/07/01;2020-Jul;PER;-41,3;16,4;4861171;117926;-349072;2935300;381400;1655600;898400;1288400;1646900;1599700;272700;1062900;-1391000;-221100;-450200;;;;;;;
2020/08/01;2020-Ago;PER;-27,7;15,6;4955080;93909;-255163;3611300;466300;2046400;1098600;1579100;2032100;2071500;321500;1218300;-919200;-172300;-294800;;;;;;;
2020/09/01;2020-Sep;PER;-25,0;16,5;5051461;96381;-158782;3749900;494500;2121400;1133900;1615300;2134700;2263100;314000;1172800;-727600;-179800;-340300;;;;;;;
2020/10/01;2020-Oct;PER;-22,5;16,4;5181453;129992;-28790;3872800;533000;2142100;1197700;1686200;2186600;2385200;312700;1174900;-605500;-181100;-338200;;;;;;;
2020/11/01;2020-Nov;PER;-17,1;15,1;;;;4142700;647000;2237000;1258600;1810800;2331800;2660300;314000;1168400;-330400;-179800;-344700;;;;;;;
2020/12/01;2020-Dic;PER;-12,8;;;;;4355800;723400;2306100;1326300;1928900;2427000;2804400;342200;1209300;-186300;-151600;-303800;;;;;;;
